,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,1TD,1Q21,2Q21,3Q21,4Q/21,1QTD,2016,2017,2018,2019,2020,2021,2022TD
bitcoin,0.18594783195442122,0.36415735244501946,0.2575389871819165,-0.08645036466475975,-0.33363902367808984,0.007118673192691327,0.1659003269813637,0.12371137919994757,-0.1174891030841988,0.4869133130449337,-0.06449968286363195,-0.18422007063728518,47191.86838983951,1.0344710383517777,-0.38691265353083704,0.15620882380581924,0.13475630675106398,47191.86838983951,1.2418963973875146,14.35285244260576,-0.7432726896765519,0.9005106080321221,2.9828149517720233,0.6364877142470755,47191.86838983951
ethereum,0.8229612995141946,0.0784758168670272,0.243333678869313,0.49839978060585355,-0.13114946339660105,-0.09451879501213567,0.1350603418530576,0.31283864768755043,-0.11665733979588189,0.5144250457727704,0.027729287998140784,-0.1641530389217174,3714.945456115339,1.4444184772496498,0.17883280912417554,0.31631402286050014,0.3009280695980261,3714.945456115339,7.553668301421803,95.70584760408359,-0.8223410891563732,-0.04482656909693339,4.726789120865742,3.934470588590207,3714.945456115339
binancecoin,0.16947778150383974,4.081663631188201,0.36468734718823925,0.9387751542614782,-0.457267090490584,-0.07571273967654668,0.07250946264869418,0.42860743789578803,-0.20140527266920216,0.4310908455052833,0.18384353907472883,-0.16903539410088375,518.3716411383205,7.110190486694043,-0.027430671786172645,0.22360284469169156,0.407809973965384,518.3716411383205,,,-0.3606391381422247,1.3529152114114242,1.7538709332337938,12.587393080457378,518.3716411383205
solana,1.752879547950006,2.144209248246874,0.44059845253879626,1.220613661915133,-0.3292394865383448,0.187682630966296,-0.049236334425917794,2.399614936132792,0.23377285681071158,0.4291768940243177,0.05696023478161805,-0.1558182674072095,172.50889438021562,11.469286224272475,0.7690532313955709,2.9878380829289464,0.27520669695347966,172.50889438021562,,,,,,111.1761670357731,172.50889438021562
wrapped-solana,,,,,,,,,,,,,174.19295148704788,,,,,174.19295148704788,,,,,,,174.19295148704788
binance-peg-cardano,,,,,,-0.12636527596586766,-0.036310012292975036,1.06689167657813,-0.24582694506535663,-0.05015177070633525,-0.18032463211014382,-0.15913294783589338,1.3508115034560553,,,0.5021941802806358,-0.34532849632704143,1.3508115034560553,,,,,,,1.3508115034560553
cardano,0.9538985373195223,2.7250503996780617,-0.09788238191565857,0.0856505624741426,0.19900798593373614,-0.13039447874516208,-0.047507846126094266,1.090084828290676,-0.2459164836483244,-0.052061682426705946,-0.17831156094429446,-0.15302250151543517,1.3580495736019418,5.565946283688522,0.1319687196358399,0.5012214709754623,-0.3402807935091642,1.3580495736019418,,,-0.9443245248869305,-0.21841177860044392,4.5231074898139125,6.36098014797495,1.3580495736019418
binance-peg-xrp,,,,,,-0.21521320760363372,0.07670635484585686,0.4560296372899013,-0.16254575522521875,0.16457655836513108,-0.08304252192807904,-0.1549272408889798,0.8379981741751299,,,0.3128907230601463,-0.09757453246976411,0.8379981741751299,,,,,,,0.8379981741751299
ripple,1.031659014672225,0.028409094616708597,0.2786675996224739,1.4671422828020568,-0.3522211937182692,-0.21989000132853653,0.06796957572359275,0.46636014148694516,-0.16093934868208237,0.15917450395224586,-0.07855755198916059,-0.15222533201013777,0.8404662013408024,1.671618171865548,0.24674253239684596,0.3139924889009478,-0.0944812014382479,0.8404662013408024,0.07347344034419967,350.47834129798065,-0.8402514037064456,-0.4696634876307595,0.09786184125446118,2.963159195555045,0.8404662013408024
terra-luna,1.137306341476651,3.171161097074153,2.119412553745553,-0.1257504347938624,-0.6182658536419559,-0.032564111993419464,0.806537564175986,2.072789198177325,0.024047771831316345,0.2645472549897372,0.19389386496781635,0.6419550341621738,84.69215311739912,26.80971596780264,-0.6771367392991747,4.684600918668962,1.4789173278091785,84.69215311739912,,,,,1.3224478120287486,125.52525053609442,84.69215311739912
wrapped-terra,,3.210818400737466,2.114055159119918,-0.1385141258072099,-0.612826553084925,-0.04403184854676456,0.8102424700906081,2.0846606913760817,0.021763635162028505,0.26329043565980537,0.19694642685354902,0.6387445025853209,84.71407539713633,,-0.6811421235630302,4.7055115752900925,1.477930769480265,84.71407539713633,,,,,,,84.71407539713633
binance-peg-avalanche,,,,,,,,,,-0.06008038064721777,0.7431591974159084,-0.06617981775675197,101.53845069406843,,,,0.5299985616496794,101.53845069406843,,,,,,,101.53845069406843
binance-peg-polkadot,,,,,,-0.19034747152298348,-0.05178325514947868,0.6787834514979587,0.03080793170562446,0.5791313391572286,-0.1276899673732278,-0.2655894848163002,27.476924137989275,,,0.6408922036329139,0.011644690153509663,27.476924137989275,,,,,,,27.476924137989275
polkadot,1.2581079838930473,1.0566121682035488,0.003578208757164969,0.05472652629433794,-0.42909002681657593,-0.2031063202125607,-0.029927430823404544,0.6468373850306453,0.05079574233928774,0.5638451326330534,-0.1298180774802291,-0.259487638326092,27.53836772217654,3.660669745603829,-0.5201473685343718,0.6787006013534516,0.0077112624037904975,27.53836772217654,,,,,,2.783254602772387,27.53836772217654
binance-peg-dogecoin,,,,,,-0.13408836590196616,-0.1988099737960649,0.2896070543551774,-0.2667605349261286,0.35003563671742066,-0.1983294338556585,-0.20163038832619296,0.17173225767630296,,,-0.24240209283293324,-0.1359374763654474,0.17173225767630296,,,,,,,0.17173225767630296
dogecoin,5.124297040414438,0.7837170118307228,0.07435967957617096,4.604037428151407,-0.015757167533768435,-0.1258880501596501,-0.21729235404031744,0.32093977095059256,-0.26730367602553473,0.3441857285208636,-0.1977552307947532,-0.20285271145052852,0.17157856616938652,10.736318909212095,3.8213687144216113,-0.24245819384021206,-0.1403834913122195,0.17157856616938652,0.4817629378177293,41.486708615249654,-0.7557703041061765,-0.1248081025404919,1.2749933775070201,35.847972791101526,0.17157856616938652
shiba-inu,64.37411834099447,0.617653129992549,5.972002201892049,23.64262434242485,4.594787823652605,0.1378536653468505,-0.2984670449743405,0.06848269511464955,0.04789123117196148,8.260057603663007,-0.31434405152137357,-0.2433277295660401,3.373784286043227e-05,736.3076888192693,155.87617455466574,-0.2145260685062953,3.804273854448142,3.373784286043227e-05,,,,,,436479.9407289436,3.373784286043227e-05
matic-network,1.1885026372821477,4.022430312273949,0.8549515356988366,1.386290653175859,1.0874419348531577,-0.36272631215358087,-0.10131645548506651,0.2523581084633397,-0.16749203366581555,0.6905018740207687,-0.02361321625920021,0.40509252075279867,2.5528488899193196,19.388888979969142,2.1744152102233145,-0.06303424219104947,1.3192227944398622,2.5528488899193196,,,,,0.27160285534244366,139.64473621088982,2.5528488899193196
crypto-com-chain,0.10280728959356389,1.319616450882997,0.460299766901592,-0.14808765290764714,-0.39806164752020745,0.02518179140945076,0.10150774742866275,0.1987202987234835,-0.019833118509903325,0.42269318572384473,2.3415232082743684,-0.22365395280504385,0.5540088725549203,2.735578130091221,-0.4742880950662832,0.29421205239183856,2.6907198388378895,0.5540088725549203,,,,,0.7552360250371455,8.380417219839783,0.5540088725549203
binance-peg-litecoin,,,,,,-0.14795314969487916,0.015310577140268622,0.1287723882235421,-0.13712329315242633,0.3193995468269437,0.131869428780093,-0.30572901407955044,149.7077983058587,,,-0.011096228388227658,0.03681596703626755,149.7077983058587,,,,,,,149.7077983058587
litecoin,0.02895019051429437,0.3030204561326273,0.1295577830477428,0.3068286853423621,-0.3319831513461413,-0.15680997544940467,0.012330531503722097,0.1515396278189134,-0.13648417832662407,0.3113855014142497,0.08661879399076255,-0.28370906004503826,148.03521639446834,0.5144468562892681,-0.26390895365236267,0.006633831660162182,0.020697493006332834,148.03521639446834,0.2550012957992642,53.480111083678324,-0.8681570766475981,0.3526480373286507,2.0505284659150362,0.14539199509119083,148.03521639446834
unicorn-token,3.526811968986772,-0.6088791269478077,7.248649360089857,-0.003124657628122751,-0.5152401080583928,0.2945817075052948,-0.3524125140493577,-0.08291253806443522,-0.5180703631041959,-0.4155360052508106,1.3690214593060626,-0.4713229221718924,0.0001540483511772783,13.604486508631785,-0.374399625527815,-0.7137847048648434,-0.26798962303736495,0.0001540483511772783,,,,,-0.9721252117946805,0.9142266928655256,0.0001540483511772783
uniswap,3.6738231446849845,0.21805891989826898,0.20860838411987204,0.44627410125804845,-0.37694628079314085,-0.27622751736264173,0.12801592230463976,0.28023176638638403,-0.14348105642933218,0.07997002711493728,-0.18377149343154864,-0.12369856012162772,17.788046793465686,5.880597827373876,-0.3478039419310114,0.23691769284782405,-0.22753824565041314,17.788046793465686,,,,,,3.287677688865487,17.788046793465686
universe-token,0.012691483140188087,-0.5485340789277875,0.6085869368418761,-0.06555498076311828,1.5999588400786569,,,,,,,,,-0.2645609803415401,,,,,,,,,-0.3959972019818101,,
chainlink,1.0856293028067543,0.12313790098889621,0.052156741878229385,0.3093992873188909,-0.26156495062116414,-0.270674310626033,0.14095214243160892,0.12380623500610932,-0.08710360890209279,0.29458839097171574,-0.15838715189461616,-0.20118753355068864,19.949776750677458,1.4646238418055346,-0.29481037621774175,0.1705240887866366,-0.1296600896646285,19.949776750677458,,,-0.5305077219049388,4.996301937206334,5.195639753533254,0.7706218264914666,19.949776750677458
algorand,0.9655364327130445,0.6917801792291596,0.1890165895246123,-0.005120304927295427,-0.3585695163470316,0.04329604050139357,-0.03480105318506632,0.1985035615888684,0.5663595726716977,0.13653037033646065,-0.019330459563335567,-0.02776039802052821,1.7327660358993577,2.953784047146738,-0.33422463385120715,0.8119559435198198,0.08362006687679213,1.7327660358993577,,,,,0.4977334807078968,4.168509747246511,1.7327660358993577
binance-peg-bitcoin-cash,,,,,,-0.20951769016140342,0.03988118341758251,0.16055796168442704,-0.23351535340868912,0.20965616686774302,-0.011438530948710834,-0.24950856709642477,433.1657167338299,,,-0.0749738397993126,-0.10254772693779068,433.1657167338299,,,,,,,433.1657167338299
bitcoin-cash,0.15001513998610472,0.1851333126984489,0.07152168080589916,0.6788163335692246,-0.2474848494976939,-0.2081634098595262,0.05335684641495031,0.14461128868227568,-0.23273831417368718,0.20365002954949674,-0.016024386874544216,-0.2497789719654976,431.2355639584978,0.46039967129034887,0.0003546615797898056,-0.0749247561511478,-0.11146651587320866,431.2355639584978,,,-0.9366599325467421,0.29614112016587923,0.7241443180762639,0.2008163274351309,431.2355639584978
tron,0.17729094570936654,0.4818877352799722,0.3983417984394082,0.84640849612913,-0.4075772129555044,-0.05664573990303179,-0.06916692060131724,0.36843261251986914,-0.0033553691225666205,0.17332914138284217,-0.04179158989450593,-0.19596252070176856,0.07792128055002882,1.43956529860273,0.03189227165304054,0.2695083327200174,-0.09602560597515741,0.07792128055002882,,,-0.5788859603856661,-0.3213718371300234,1.027135462748653,1.8889397969111545,0.07792128055002882
tron-bsc,,,,,,-0.0509681852930185,-0.07933293633010363,0.3816862331829125,-0.012891057466553835,0.17926639749763296,-0.04385838328720515,-0.19413914729137804,0.0779444366808042,,,0.2556746409799373,-0.0913550769774556,0.0779444366808042,,,,,,,0.0779444366808042
stellar,1.4532615978702221,0.3694017032146828,-0.0912966696276114,0.22673562326949548,-0.23837922610704654,-0.2524222248638779,-0.006919732344291107,0.18650757133398765,-0.1817149397290776,0.3226116616601782,-0.08167134513050667,-0.1853496847608953,0.26845462300326667,2.052789393199089,-0.30153260138932503,-0.03581695843483934,-0.010532091022720458,0.26845462300326667,0.38953369774494395,145.3974621367172,-0.6766443642918902,-0.6058989659078404,1.8954873838631299,1.0342493513710527,0.26845462300326667
decentraland,0.9892608685172828,0.6377587745052,3.2436843804951643,0.34715726257343915,-0.46346134744363887,-0.290982123632326,0.28803574751652783,0.3301683086740095,-0.3196522153321202,4.463708872984849,0.3884235219845067,-0.3271464017440261,3.2975643156440277,12.825624286594064,-0.48752050173486916,0.16564280659229902,4.104228314696431,3.2975643156440277,,,-0.5580214561812271,-0.3360473740721932,1.4598049248449785,41.155750657609865,3.2975643156440277
genesis-mana,,,,,,,,,,,0.011695031631570929,0.033731467120086345,1206.7750743305583,,,,,1206.7750743305583,,,,,,,1206.7750743305583
ftx-token,0.9971678317914303,1.4004637134197826,0.4519612969883773,0.309664765337899,-0.4007809550309587,-0.1435578092082952,0.30096927502593096,0.3252000396823196,0.07589958051890999,0.19124876502391164,-0.13029825892666402,-0.24803413415926978,38.91209511793303,5.960889629838391,-0.3278846634007684,0.8548987918839004,-0.2209399580568755,38.91209511793303,,,,,1.667660120268383,5.760825106211074,38.91209511793303
axie-infinity,0.5732624899410452,0.8942437541362616,2.921436039582872,0.6203517941721317,-0.5499925270800933,0.012452862908942874,8.395234804756138,0.6954312637799118,-0.05694698406263088,1.1290803430906662,-0.08736683315965366,-0.29241265826228546,95.16534385473017,10.686438771936832,-0.2617493246339557,14.021867743411454,0.3748912662527524,95.16534385473017,,,,,,177.1879486684289,95.16534385473017
hedera-hashgraph,1.4796369711799557,0.4861808134634005,2.2759422733206853,-0.27014541076289456,-0.23737265244301153,-0.13103930525596208,0.1325853602657714,0.1341294354104292,0.2771952355388898,0.34152936159951786,-0.15393619641989742,-0.1577003018753388,0.2993613135264384,11.072466072943639,-0.5163303341946244,0.6405552303970026,-0.04397347313252009,0.2993613135264384,,,,,1.93773670189421,8.158105513741216,0.2993613135264384
vechain,0.32120534967696823,0.5317753825734026,1.1808793088088252,1.153984979060715,-0.434879457169179,-0.17407598828340387,-0.04942941886150054,0.3746899499729548,-0.2806398777092798,0.5398124343019974,-0.06385620928541136,-0.3038279875461013,0.08489207999452159,3.413641365536326,0.00536522108295312,-0.05998347995125608,0.003522104587091013,0.08489207999452159,,,,0.30161155736768475,2.7436727647521124,3.1858467864388507,0.08489207999452159
near,0.7907922009510695,0.8726705963264758,0.5617442685851328,-0.13207660981905156,-0.4356883291684581,-0.32929744619801626,0.11700336969731562,1.307474989703536,0.2437792896004667,0.5684339663787168,-0.19514680650220728,0.8289842560403433,15.41589334159289,4.237409198365875,-0.6715037737189817,2.2057880580658944,1.3088348949163229,15.41589334159289,,,,,,11.73428530492852,15.41589334159289
cosmos,0.47076275620548746,1.4164734952209619,0.02541614749620802,0.11114096196428447,-0.43203244279181374,-0.0731280639879901,0.05223172016259814,0.7969050326726512,0.536184862738891,0.10278043432533357,-0.24600946290307657,0.07859114253545618,30.242086545043552,2.644389711426906,-0.41505851958508866,1.9045576184526047,-0.10316655233954564,30.242086545043552,,,,,0.3107453936853486,4.553017280428719,30.242086545043552
binance-peg-filecoin,,,,,,-0.11772052805158273,-0.14405561154358015,0.3883987401384106,-0.20347761898911776,0.0420445914381693,-0.07513069356128521,-0.36350194421844073,35.02450229450095,,,-0.053419086521057646,-0.38657177897587736,35.02450229450095,,,,,,,35.02450229450095
filecoin,0.015340835575186507,0.7475768685138355,2.897642484302581,-0.000923729681448715,-0.543400562825761,-0.056205782054860154,-0.2050297293894322,0.39223673752983323,-0.1987767337219548,0.047938240184072,-0.08502879735171565,-0.3638082705414445,34.8996167407994,5.9159228726233986,-0.5694621595676368,-0.11321665222056432,-0.3899981770256473,34.8996167407994,,,,,,0.6106832098522348,34.8996167407994
elrond-erd-2,1.6728446131495809,1.126321506603623,0.03941680566452499,0.2238848086607621,-0.46843355020663613,-0.08091444643110457,0.028505129911456928,0.8063190682392505,0.2839944724292487,0.2744607102420811,0.5241463333642666,-0.39432957514151756,239.43855755835534,4.907345580035421,-0.40206490251510696,1.385415752308655,0.1764933707790204,239.43855755835534,,,,,,8.912883252620775,239.43855755835534
ethereum-classic,0.32649977247390694,0.487812941623361,0.15806511350291097,1.6606759862182723,0.912871918141924,-0.1464581644595636,-0.09546056338833842,0.21987252242514166,-0.26543297213578976,0.15247234547466593,-0.08225393165245098,-0.28322774784600924,34.64427216855303,1.2855382329943987,3.3441288073729405,-0.18946199026142596,-0.24188650050629656,34.64427216855303,,17.388973296626972,-0.800607699484166,-0.1119004592753563,0.2280520807580193,5.100968748587153,34.64427216855303
san-diego-coin,20.48425346743564,1.4402703571270914,-0.7793492956342791,-0.23615187366585189,,,,,,,,,,10.568139843476574,0.08439686478960517,,,,,,,,,,
the-sandbox,1.419965737496013,1.8459818246963255,2.303950746984595,-0.31152199055953234,-0.42688948161755913,-0.30482298992233436,1.9267715799557803,0.4758468426858449,-0.3777512691802367,1.9272334991236995,2.935167559996104,-0.14880095068256616,5.927830862335233,21.754898567207114,-0.7257012341522731,1.6877826068933781,8.805093194451013,5.927830862335233,,,,,,163.4919399756368,5.927830862335233
internet-computer,,,,,,-0.5155553427051103,-0.22090821611546818,0.545915759499233,-0.31468434980928406,-0.033476972460211085,-0.02396432901207024,-0.40940732509984634,24.814969998024974,,,-0.1745987949092075,-0.44285793213318725,24.814969998024974,,,,,,,24.814969998024974
theta-token,0.24966771471229632,0.6009223124207657,3.0570846211894587,-0.156309596545802,-0.40390214129499113,0.08968646059361074,-0.15470605042171848,0.09666716354160654,-0.2650919990040074,0.6991969088853445,-0.18888881625518072,-0.2780646226773914,4.80953793260554,7.116688398174585,-0.45197265910797024,-0.3187357868780403,-0.005001506521774779,4.80953793260554,,,,0.8095589640321808,16.80160447904427,2.0152206490599824,4.80953793260554
tezos,0.4488010705760934,0.2760174064200831,0.23897265901871356,0.14837646044579578,-0.3726467489041909,-0.09484713062973449,-0.003137889425229079,0.816028837153266,0.04713862102810973,0.11838733685429981,-0.10903065813209345,-0.2253842740329456,4.348243286886605,1.2904830362435744,-0.34789374326355316,0.8956668152771821,-0.22813506657070548,4.348243286886605,,,,1.688536369079709,0.5050018753231282,1.1854897064714467,4.348243286886605
helium,0.849872925617124,0.6747856356997137,1.5592612770959766,0.6475131148764679,-0.05421111029569148,-0.18624106647475136,0.12159634947475251,0.44679174456129167,-0.17919324962508765,0.7992146634419635,0.3221131992211159,-0.07022545694409776,37.51749451528064,6.928951278031179,0.2679988444650767,0.33193652511811167,1.2117155637448245,37.51749451528064,,,,,,28.617432652656813,37.51749451528064
hymnode,-0.28015946226498445,1.9072238710040734,3.218939187484903,-0.3702104288441256,-0.35435382434517193,0.6748150424582458,-0.20568044438331812,-0.5528832475811114,-0.3270052172961435,0.22911641956245465,1.3149618670455552,-0.04506498282208837,0.025955910141215944,7.829132647063718,-0.31898465062192993,-0.7609834935407358,1.7171316482121575,0.025955910141215944,,,,,0.3661235292003182,2.904932377517835,0.025955910141215944
fantom,6.923583411915257,2.571553068831679,-0.08845813356048227,0.36698626656299593,-0.4969418830364052,-0.19812992716401112,0.0677776015758742,2.1217905168594076,0.5148156857209443,1.2160889458891155,-0.18441308620112962,-0.02239254210150976,2.107973693843005,24.79617781960755,-0.4485751706602854,4.049453266771208,0.7669405691578288,2.107973693843005,,,,0.7167640101025041,0.46309283234279497,125.91354607611063,2.107973693843005
fitmin,,,,,,,-0.25694084976796194,-0.33850861738660953,-0.2759472250164443,0.3011543371745067,0.05983076561606615,-0.20420782041972718,1.43630032795689e-10,,,-0.644108349011824,0.0974001192276055,1.43630032795689e-10,,,,,,,1.43630032795689e-10
monero,-0.12954446509208817,0.5191583422227708,0.15505334990693487,0.6716742683718693,-0.35958030466344937,-0.16556673127943866,0.11422894986266519,0.1634038737378194,-0.17090589621423302,0.12185486705584592,-0.10199405008307161,-0.04481518011173424,225.18292671888534,0.5273961022062776,-0.10667816735725966,0.07475325779467012,-0.03771591645721761,225.18292671888534,28.753238968271226,24.53270207500248,-0.8638548433490152,-0.04357893655235889,2.4665365002002098,0.4111451872025209,225.18292671888534
